date;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
1;8;9;18;28;15;30;18;18;12;7;21;6;6;23;22;26;10;17;15;2;0;6;3;5
2;26;16;13;30;20;14;16;9;5;5;15;23;11;30;25;18;15;24;15;7;4;7;2;2
3;5;11;23;29;20;5;28;20;9;6;26;19;21;10;26;19;12;10;25;4;1;4;5;1
4;30;22;8;27;19;13;20;18;5;25;13;13;12;18;20;8;17;18;9;6;0;3;2;5
5;30;26;10;24;30;10;7;6;13;19;8;26;27;14;29;7;23;16;7;4;5;3;6;7
6;10;6;28;18;9;5;16;5;29;29;11;8;14;23;27;28;22;9;21;6;3;6;5;4
7;2;1;4;4;0;4;5;4;1;2;0;4;5;0;0;2;2;0;3;4;2;5;1;0
8;8;29;14;25;19;15;7;27;20;18;28;23;18;18;19;13;9;11;8;0;3;4;3;3
9;13;13;29;5;27;20;21;8;27;9;5;12;17;28;29;26;26;26;7;0;6;5;6;3
10;25;30;14;8;18;18;7;29;9;16;10;16;11;11;15;30;13;16;6;6;7;0;0;3
11;8;27;14;13;19;12;8;8;28;24;5;23;15;13;28;16;29;21;28;7;2;0;3;2
12;25;6;10;21;9;29;25;28;17;27;11;23;11;16;14;10;10;19;15;2;5;1;0;0
13;21;14;18;27;28;20;24;19;10;29;7;11;12;21;29;28;8;14;6;1;0;0;1;0
14;0;1;5;2;0;4;0;3;1;2;0;5;5;2;4;4;0;1;1;4;1;2;2;4
15;21;24;28;11;29;6;18;27;25;27;30;20;24;26;20;8;29;5;24;4;7;0;0;3
16;9;17;9;15;14;10;22;27;7;14;30;9;8;11;24;10;11;16;7;5;6;4;5;1
17;29;9;9;21;5;9;14;20;22;8;25;29;23;22;28;22;17;9;28;3;3;7;6;0
18;21;28;26;13;21;7;13;5;13;28;20;9;21;29;26;28;24;7;21;1;4;3;2;7
19;18;23;7;15;8;14;13;15;7;12;27;28;21;7;21;29;11;20;13;3;2;7;5;0
20;5;23;22;20;26;12;25;26;26;21;12;23;11;11;27;25;19;17;25;2;6;4;3;1
21;5;1;0;2;4;0;1;1;3;1;5;1;1;0;2;1;0;4;4;4;3;1;0;4
22;20;9;5;12;9;10;27;13;30;13;13;25;12;24;19;15;12;9;15;3;2;7;4;3
23;6;12;13;30;24;22;16;16;19;10;13;7;11;8;16;19;15;25;14;1;4;5;6;3
24;18;15;26;18;25;6;11;9;20;13;26;15;24;29;10;5;27;10;8;7;2;6;7;4
25;8;11;15;29;27;12;12;7;27;10;30;6;8;9;23;5;27;23;22;0;3;6;2;7
26;25;30;29;24;25;13;25;24;12;8;18;29;7;16;17;14;25;9;19;5;0;0;0;4
27;7;9;29;27;24;28;16;10;9;17;27;9;16;18;27;30;10;17;21;5;7;6;3;7
28;2;5;3;1;2;0;4;4;2;0;4;0;4;5;4;4;0;5;0;2;0;1;2;1
29;29;20;8;20;28;13;9;16;15;25;22;11;12;21;26;18;27;24;7;4;4;3;2;7
30;13;5;26;20;11;24;27;20;25;10;25;13;12;7;19;7;10;24;11;7;3;1;7;2
31;14;25;14;10;7;10;19;16;11;20;18;25;15;14;21;17;17;22;26;3;0;7;0;0
